scout,match,robot,team,start,show,move,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,tele_missed,climb_attempt,ending,climb_time,fouls,defense,driver,dead,comments,commentOpen
MF,1,B3,540,F,FALSE,FALSE,0,0,0,1,FALSE,FALSE,0,0,0,0,5,4,4,1,FALSE,No,FALSE,0,0,5,NA,,Human player struggled to output coral at the end
RX,1,R2,2534,C,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,1,0,4,2,FALSE,P,FALSE,0,0,3,NA,,Paused for 10 secs near end of match
BH,1,B1,686,F,FALSE,TRUE,0,0,0,2,TRUE,FALSE,0,0,0,3,0,4,0,2,FALSE,No,FALSE,0,0,3,NA,2,They missed every l4 attempt
Ashwin,1,R3,2534,C,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,1,0,4,2,TRUE,P,FALSE,0,0,3,NA,,"Missed an L4 coral in teleop, intake was a bit slow low but steady and consistent"
GEH,1,B2,116,M,FALSE,TRUE,1,0,0,0,TRUE,FALSE,8,1,0,1,0,4,0,4,FALSE,P,FALSE,0,0,4,NA,,Had a rough start but picked up the pace and was able to score multiple L3 and remove algae from the reef.
CVC,1,R1,1111,M,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,3,4,FALSE,No,FALSE,0,0,2,NA,5,"They struggled with their wheels towards the end half of the match, and really struggled the start of teleop to align for coral intake"
BH,2,B1,122,C,FALSE,TRUE,1,0,0,0,FALSE,FALSE,0,0,0,1,0,0,5,2,TRUE,P,FALSE,0,0,3,NA,,All L1 is a result of missed l4
RX,2,R2,1895,M,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,4,3,1,FALSE,P,FALSE,0,0,4,NA,1,"Fast Early Reef Algae Removal, Difficult L4 score but good L3, somewhat lengthy loading time"
CVC,2,R1,4821,C,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,6,0,0,0,0,0,FALSE,P,FALSE,0,0,3,NA,,"Didn't focus on other parts really only did algae intake for net human shots, succeeded the majority only missed two algae into processor"
Ashwin,2,R3,9072,F,FALSE,TRUE,0,0,0,1,TRUE,TRUE,2,0,0,0,0,0,5,1,TRUE,P,FALSE,0,0,4,NA,7,"Almost all corals scored were intook from ground. Driver or robot seemed to lose control in last 30 seconds, crashing into reef repeatedly"
 TC,2,R1,2199,M,FALSE,TRUE,0,0,0,1,TRUE,FALSE,0,1,0,0,0,1,4,0,TRUE,P,FALSE,0,0,2,NA,,They were good at removing coral but not as consistent with scoring it in the processor.
GEH,2,B2,10224,F,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,1,2,2,0,0,1,TRUE,P,FALSE,0,0,3,NA,,One note for me - they scored on the opposite side of the reef but I couldn't see whether it was L1 or L2.
RX,3,R2,4541,M,FALSE,TRUE,0,0,0,1,FALSE,FALSE,0,0,0,0,2,0,2,2,FALSE,P,FALSE,0,0,3,cs,,"Fast Loading, Coral got stuck near end of match"
BH,3,B1,2106,C,FALSE,FALSE,0,0,0,3,TRUE,FALSE,2,0,0,1,0,3,4,1,TRUE,D,FALSE,0,0,4,NA,,
CVC,3,R1,888,C,FALSE,TRUE,0,0,0,1,TRUE,FALSE,0,0,0,0,1,4,3,3,FALSE,No,FALSE,0,0,3,NA,,"Overall alright, missed a couple coral placements and dropped one on their way pretty swift, also removed two algaes from reef"
GEH,3,B2,2890,M,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,1,0,1,FALSE,P,FALSE,0,0,2,NA,,"Moved very slow, only managed to score one coral in the entire game. Was able to remove some algae but struggled picking it up to score."
 TC,3,R1,6802,F,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,3,4,TRUE,S,FALSE,0,0,2,NA,,Mised a lot and slow cycle speed and aiming for coral.
Ashwin,3,R3,4638,F,FALSE,TRUE,0,0,0,1,FALSE,FALSE,0,0,0,0,0,1,3,0,TRUE,P,FALSE,0,0,2,NA,1,"Robot elevator raised so high that robot almost tipped over, took 15+ seconds to score each coral. Driver had difficulty being precise in intake, but robot design compensated"
GEH,4,B2,3793,M,FALSE,TRUE,1,0,0,0,FALSE,FALSE,0,0,0,2,6,0,0,0,FALSE,P,FALSE,0,0,4,NA,,"Focused on putting coral on L2, which worked out well for them."
